round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
2,40,Guy Morgan,G,United States,Indiana Pacers,Wake Forest,No,College Senior,1982
2,41,Dwight Anderson,G,United States,Washington Bullets,USC,No,College Senior,1982
2,42,Jeff Taylor,SG,United States,Houston Rockets,Texas Tech,No,College Senior,1982
2,43,Jose Slaughter,SG,United States,Indiana Pacers,Portland,No,College Senior,1982
2,44,Mike Gibson,F,United States,Washington Bullets,USC Upstate,No,College Senior,1982
2,45,Russ Schoene,F/C,United States,Philadelphia 76ers,Chattanooga,No,College Senior,1982
2,46,Tony Guy,G,United States,Boston Celtics,Kansas,No,College Senior,1982
3,47,Mike Wilson,G,United States,Cleveland Cavaliers,Marquette,No,College Senior,1982
3,48,Craig Hodges,SG,United States,San Diego Clippers,Long Beach State,No,College Senior,1982
3,50,Corny Thompson,PF,United States,Dallas Mavericks,Connecticut,No,College Senior,1982
3,51,Jim Johnstone,PF/C,United States,Kansas City Kings,Wake Forest,No,College Senior,1982
3,54,Hutch Jones,PG,United States,San Diego Clippers,Vanderbilt,No,College Senior,1982
3,55,Jerry Eaves,PG,United States,Utah Jazz,Louisville,No,College Senior,1982
3,56,Joe Kopicki,PF,United States,Atlanta Hawks,Detroit,No,College Senior,1982
3,60,Chris Engler,C,United States,Golden State Warriors,Wyoming,No,College Senior,1982
3,63,Chuck Nevitt,C,United States,Houston Rockets,NC State,No,College Senior,1982
3,65,John Greig,SF,United States,Seattle SuperSonics,Oregon,No,College Senior,1982
3,69,Perry Moss,PG,United States,Boston Celtics,Northeastern,No,College Senior,1982
4,72,Mark Eaton,C,United States,Utah Jazz,UCLA,No,College Senior,1982
4,74,Mike Sanders,SG,United States,Kansas City Kings,UCLA,No,College Senior,1982
4,76,Chuck Aleksinas,C,United States,Chicago Bulls,Connecticut,No,College Senior,1982
4,78,Walker Russell,SG,United States,Detroit Pistons,Western Michigan,No,College Senior,1982
4,82,Tony Brown,SF/SG,United States,New Jersey Nets,Arkansas,No,College Senior,1982
4,86,Rory White,PF,United States,Phoenix Suns,South Alabama,No,College Sophmore,1982
6,138,John Schweitz,SG,United States,Boston Celtics,Richmond,No,College Senior,1982
7,140,Eddie Hughes,PG,United States,San Diego Clippers,Colorado State,No,College Senior,1982
8,166,Ed Nealy,PF,United States,Kansas City Kings,Kansas State,No,College Senior,1982
10,221,Dale Wilkinson,F,United States,Phoenix Suns,Idaho State,No,College Senior,1982
1,1,Ralph Sampson^,C,United States,Houston Rockets,Virginia,No,College Senior,1983
1,2,Steve Stipanovich,C,United States,Indiana Pacers,Missouri,No,College Senior,1983
1,3,Rodney McCray,SF,United States,Houston Rockets,Louisville,Yes,College Senior,1983
1,4,Byron Scott,SG,United States,San Diego Clippers,Arizona State,No,College Junior,1983
1,5,Sidney Green,PF,United States,Chicago Bulls,UNLV,No,College Senior,1983
1,6,Russell Cross,C,United States,Golden State Warriors,Purdue,No,College Junior,1983
1,7,Thurl Bailey,PF,United States,Utah Jazz,NC State,No,College Senior,1983
1,8,Antoine Carr,PF,United States,Detroit Pistons,Wichita State,No,College Senior,1983
1,9,Dale Ellis,SG,United States,Dallas Mavericks,Tennessee,No,College Senior,1983
1,10,Jeff Malone,SG,United States,Washington Bullets,Mississippi State,No,College Senior,1983
1,11,Derek Harper,PG/SG,United States,Dallas Mavericks,Illinois,Yes,College Junior,1983
1,12,Darrell Walker,SG,United States,New York Knicks,Arkansas,No,College Senior,1983
1,13,Ennis Whatley,PG,United States,Kansas City Kings,Alabama,No,College Sophmore,1983
1,14,Clyde Drexler^,SG,United States,Portland Trail Blazers,Houston,No,College Junior,1983
1,15,Howard Carter,SG,United States,Denver Nuggets,LSU,No,College Senior,1983
1,16,Jon Sundvold,PG,United States,Seattle SuperSonics,Missouri,No,College Senior,1983
1,17,Leo Rautins,SF,Canada,Philadelphia 76ers,Syracuse,Yes,College Senior,1983
1,18,Randy Breuer,C,United States,Milwaukee Bucks,Minnesota,No,College Senior,1983
1,19,John Paxson,PG,United States,San Antonio Spurs,Notre Dame,No,College Senior,1983
1,20,Roy Hinson,C,United States,Cleveland Cavaliers,Rutgers,Yes,College Senior,1983
1,21,Greg Kite,C,United States,Boston Celtics,BYU,No,College Senior,1983
1,22,Randy Wittman,SG,United States,Washington Bullets,Indiana,Yes,College Senior,1983
1,23,Mitchell Wiggins,SG,United States,Indiana Pacers,Florida State,Yes,College Senior,1983
1,24,Stewart Granger,PG,Canada,Cleveland Cavaliers *,Villanova,No,College Senior,1983
2,25,Sidney Lowe,PG,United States,Chicago Bulls,NC State,No,College Senior,1983
2,26,Leroy Combs,SF,United States,Indiana Pacers,Oklahoma State,No,College Senior,1983
2,27,John Garris,PF,United States,Cleveland Cavaliers,Boston College,No,College Senior,1983
2,28,Rod Foster,PG,United States,Phoenix Suns,UCLA,No,College Senior,1983
2,29,Larry Micheaux,PF,United States,Chicago Bulls,Houston,No,College Senior,1983
2,30,Mark West,C,United States,Dallas Mavericks,Old Dominion,No,College Senior,1983
2,31,Doc Rivers,PG,United States,Atlanta Hawks,Marquette,No,College Junior,1983
2,32,Michael Britt,SF,United States,Washington Bullets,UDC,No,College Senior,1983
2,33,Dirk Minniefield,PG,United States,Dallas Mavericks,Kentucky,No,College Senior,1983
2,34,Guy Williams,F,United States,Washington Bullets,Washington State,No,College Senior,1983
2,35,Darrell Lockhart,C,United States,San Antonio Spurs,Auburn,No,College Senior,1983
2,36,Scooter McCray,PF,United States,Seattle SuperSonics,Louisville,No,College Senior,1983
2,37,David Russell,SF,United States,Denver Nuggets,St. John's,No,College Senior,1983
2,38,Chris McNealy,PF,United States,Kansas City Kings,San Jose State,No,College Senior,1983
2,39,Granville Waiters,C,United States,Portland Trail Blazers,Ohio State,No,College Senior,1983
2,40,Jim Thomas,SG,United States,Indiana Pacers,Indiana,No,College Senior,1983
2,41,Ted Kitchel,SF,United States,Milwaukee Bucks,Indiana,No,College Senior,1983
2,42,Mike Davis,SG,United States,Milwaukee Bucks,Alabama,No,College Senior,1983
2,43,Pace Mannion,SF,United States,Golden State Warriors,Utah,No,College Senior,1983
2,44,Horace Owens,SG,United States,New Jersey Nets,Rhode Island,No,College Senior,1983
2,45,Paul Williams,SF,United States,Phoenix Suns,Arizona State,No,College Senior,1983
2,46,Kevin Williams,PG,United States,San Antonio Spurs,St. John's,No,College Senior,1983
2,47,Kenneth Lyons,PF,United States,Philadelphia 76ers,North Texas State,No,College Senior,1983
3,56,Larry Anderson,SG,United States,Cleveland Cavaliers,UNLV,No,College Senior,1983
3,48,Craig Ehlo,SG,United States,Houston Rockets,Washington State,No,College Senior,1983
3,50,Paul Thompson,SF,United States,Cleveland Cavaliers,Tulane,No,College Senior,1983
3,53,Mike Holton,SG,United States,Golden State Warriors,UCLA,No,College Senior,1983
3,54,Bob Hansen,SG,United States,Utah Jazz,Iowa,No,College Senior,1983
3,57,Darren Daye,SF,United States,Washington Bullets,UCLA,No,College Senior,1983
3,58,John Pinone,SF,United States,Atlanta Hawks,Villanova,No,College Senior,1983
3,59,Bruce Kuczenski,PF,United States,New Jersey Nets,Connecticut,No,College Senior,1983
3,62,Tom Piotrowski,C,United States,Portland Trail Blazers,La Salle,No,College Senior,1983
4,75,Ron Crevier,C,Canada,Chicago Bulls,Boston College,No,College Senior,1983
4,77,Peter Thibeaux,SF,United States,Golden State Warriors,Saint Mary's,No,College Senior,1983
4,82,Mark Jones,PG,United States,New York Knicks,St. Bonaventure,No,College Senior,1983
4,90,Brant Weidner,PF,United States,San Antonio Spurs,William & Mary,No,College Senior,1983
4,91,Carlos Clark,SG,United States,Boston Celtics,Ole Miss,No,College Senior,1983
5,97,Manute Bol,C,Sudan,San Diego Clippers,None,No,Playing Internationally,1983
5,101,Ken Austin,PF,United States,Detroit Pistons,Rice,No,College Senior,1983
5,102,Jim Lampley,C,United States,Dallas Mavericks,Arkansas–Little Rock,No,College Senior,1983
6,139,Sedale Threatt,SG,United States,Philadelphia 76ers,West Virginia Tech,No,College Senior,1983
7,152,Dane Suttle,SG,United States,Kansas City Kings,Pepperdine,No,College Senior,1983
1,1,Akeem Olajuwon^,C,Nigeria,Houston Rockets,Houston,No,College Junior,1984
1,2,Sam Bowie,C,United States,Portland Trail Blazers,Kentucky,Yes,College Senior,1984
1,3,Michael Jordan^,G/F,United States,Chicago Bulls,North Carolina,No,College Junior,1984
1,4,Sam Perkins,F/C,United States,Dallas Mavericks,North Carolina,Yes,College Senior,1984
1,5,Charles Barkley^,F,United States,Philadelphia 76ers,Auburn,Yes,College Junior,1984
1,6,Melvin Turpin,C,United States,Washington Bullets,Kentucky,Yes,College Senior,1984
1,7,Alvin Robertson,G,United States,San Antonio Spurs,Arkansas,No,College Senior,1984
1,8,Lancaster Gordon,G,United States,Los Angeles Clippers,Louisville,Yes,College Senior,1984
1,9,Otis Thorpe,F/C,United States,Kansas City Kings,Providence,No,College Senior,1984
1,10,Leon Wood,G,United States,Philadelphia 76ers,Cal State Fullerton,Yes,College Senior,1984
1,11,Kevin Willis,F/C,United States,Atlanta Hawks,Michigan State,No,College Senior,1984
1,12,Tim McCormick,C,United States,Cleveland Cavaliers,Michigan,Yes,College Senior,1984
1,13,Jay Humphries,G,United States,Phoenix Suns,Colorado,No,College Senior,1984
1,14,Michael Cage,F/C,United States,Los Angeles Clippers,San Diego State,Yes,College Senior,1984
1,15,Terence Stansbury,G,United States,Dallas Mavericks,Temple,No,College Senior,1984
1,16,John Stockton^,G,United States,Utah Jazz,Gonzaga,No,College Senior,1984
1,17,Jeff Turner,F/C,United States,New Jersey Nets,Vanderbilt,No,College Senior,1984
1,18,Vern Fleming,G,United States,Indiana Pacers,Georgia,Yes,College Senior,1984
1,19,Bernard Thompson,G/F,United States,Portland Trail Blazers,Fresno State,No,College Freshman,1984
1,20,Tony Campbell,G/F,United States,Detroit Pistons,Ohio State,No,College Senior,1984
1,21,Kenny Fields,G/F,United States,Milwaukee Bucks,UCLA,No,College Senior,1984
1,22,Tom Sewell,G,United States,Philadelphia 76ers,Lamar,Yes,College Senior,1984
1,23,Earl Jones,C,United States,Los Angeles Lakers,UDC,No,College Senior,1984
1,24,Michael Young,G/F,United States,Boston Celtics,Houston,No,College Senior,1984
2,25,Devin Durrant,F,United States,Indiana Pacers,Brigham Young,No,College Senior,1984
2,26,Victor Fleming,G,United States,Portland Trail Blazers,Xavier,Yes,College Senior,1984
2,27,Ron Anderson,G/F,United States,Cleveland Cavaliers,Fresno State,No,College Freshman,1984
2,28,Cory Blackwell,F,United States,Seattle SuperSonics,Wisconsin,Yes,College Junior,1984
2,29,Stuart Gray,F/C,Panama,Indiana Pacers,UCLA,Yes,College Junior,1984
2,30,Steve Burtt,G,United States,Golden State Warriors,Iona,Yes,College Senior,1984
2,31,Jay Murphy,F,United States,Golden State Warriors,Boston College,Yes,College Senior,1984
2,32,Eric Turner,G,United States,Detroit Pistons,Michigan,Yes,College Junior,1984
2,33,Steve Colter,G,United States,Portland Trail Blazers,New Mexico State,Yes,College Senior,1984
2,34,Tony Costner,C,United States,Washington Bullets,Saint Joseph's,Yes,College Senior,1984
2,35,Othell Wilson,G,United States,Golden State Warriors,Virginia,Yes,College Senior,1984
2,36,Charles Jones,F,United States,Phoenix Suns,Louisville,No,College Senior,1984
2,37,Ben Coleman,F,United States,Chicago Bulls,Maryland,Yes,College Senior,1984
2,38,Charlie Sitton,F,United States,Dallas Mavericks,Oregon State,No,College Senior,1984
2,39,Danny Young,G,United States,Seattle SuperSonics,Wake Forest,Yes,College Senior,1984
2,40,Anthony Teachey,F,United States,Dallas Mavericks,Wake Forest,Yes,College Senior,1984
2,41,Tom Sluby,G,United States,Dallas Mavericks,Notre Dame,Yes,College Senior,1984
2,42,Willie White,G,United States,Denver Nuggets,Chattanooga,Yes,College Senior,1984
2,43,Greg Wiltjer,C,Canada,Chicago Bulls,Victoria,Yes,College Senior,1984
2,44,Fred Reynolds,F,United States,Washington Bullets,UTEP,Yes,College Senior,1984
2,45,Gary Plummer,F/C,United States,Golden State Warriors,Boston University,Yes,College Senior,1984
2,46,Jerome Kersey,F,United States,Portland Trail Blazers,Longwood,Yes,College Senior,1984
2,47,Ronnie Williams,F,United States,Boston Celtics,Florida,No,College Senior,1984
3,50,Ben McDonald,F,United States,Cleveland Cavaliers,UC Irvine,No,College Senior,1984
3,51,Jim Petersen,F/C,United States,Houston Rockets,Minnesota,No,College Senior,1984
3,57,Joe Binion,F,United States,San Antonio Spurs,North Carolina A&T,Yes,College Senior,1984
3,61,Jeff Cross,F,United States,Dallas Mavericks,Maine,No,College Senior,1984
3,62,David Pope,F,United States,Utah Jazz,Norfolk State,No,College Senior,1984
3,68,Butch Graves,G,United States,Philadelphia 76ers,Yale,No,College Senior,1984
3,70,Rick Carlisle,G,United States,Boston Celtics,Virginia,No,College Senior,1984
4,71,Ralph Jackson,G,United States,Indiana Pacers,UCLA,No,College Senior,1984
4,76,Jim Grandholm,F,United States,Washington Bullets,South Florida,No,College Sophmore,1984
4,80,Carl Henry,G,United States,Kansas City Kings,Kansas,No,College Senior,1984
4,86,Jim Rowinski,F,United States,Utah Jazz,Purdue,No,College Senior,1984
4,87,Bob Thornton,F/C,United States,New York Knicks,UC Irvine,No,College Senior,1984
4,90,Ozell Jones,F/C,United States,San Antonio Spurs,Cal State Fullerton,Yes,College Senior,1984
6,120,McKinley Singleton,G,United States,Milwaukee Bucks,UAB,Yes,College Senior,1984
6,131,Oscar Schmidt^,G/F,Brazil,New Jersey Nets,S.E. Palmeiras,No,Playing Internationally,1984
6,133,Eddie Lee Wilkins,F/C,United States,New York Knicks,Gardner–Webb,No,College Senior,1984
7,140,Kenton Edelin,F,United States,Indiana Pacers,Virginia,No,College Senior,1984
7,156,Ken Bannister,F/C,United States,New York Knicks,St. Augustine's,No,College Senior,1984
9,185,Brian Martin,F,United States,Indiana Pacers,Kansas,No,College Senior,1984
1,1,Patrick Ewing^,C,United States,New York Knicks,Georgetown,No,College Senior,1985
1,2,Wayman Tisdale,PF,United States,Indiana Pacers,Oklahoma,No,College Junior,1985
1,3,Benoit Benjamin,C,United States,Los Angeles Clippers,Creighton,No,College Junior,1985
1,4,Xavier McDaniel,PF,United States,Seattle SuperSonics,Wichita State,No,College Senior,1985
1,5,Jon Koncak,C,United States,Atlanta Hawks,SMU,No,College Senior,1985
1,6,Joe Kleine,C,United States,Sacramento Kings,Arkansas,No,College Senior,1985
1,7,Chris Mullin^,SF,United States,Golden State Warriors,St. John's,No,College Senior,1985
1,8,Detlef Schrempf,SF/PF,West Germany,Dallas Mavericks,Washington,Yes,College Senior,1985
1,9,Charles Oakley,PF,United States,Cleveland Cavaliers *,Virginia Union,No,College Senior,1985
1,10,Ed Pinckney,PF,United States,Phoenix Suns,Villanova,No,College Senior,1985
1,11,Keith Lee,C,United States,Chicago Bulls,Memphis State,No,College Senior,1985
1,12,Kenny Green,F,United States,Washington Bullets,Wake Forest,No,College Junior,1985
1,13,Karl Malone^,PF,United States,Utah Jazz,Louisiana Tech,No,College Junior,1985
1,14,Alfredrick Hughes,SG,United States,San Antonio Spurs,Loyola,No,College Senior,1985
1,15,Blair Rasmussen,C,United States,Denver Nuggets,Oregon,Yes,College Senior,1985
1,16,Bill Wennington,C,Canada,Dallas Mavericks,St. John's,Yes,College Senior,1985
1,17,Uwe Blab,C,West Germany,Dallas Mavericks,Indiana,No,College Senior,1985
1,18,Joe Dumars^,SG,United States,Detroit Pistons,McNeese State,No,College Senior,1985
1,19,Steve Harris,SG,United States,Houston Rockets,Tulsa,No,College Senior,1985
1,20,Sam Vincent,SG,United States,Boston Celtics,Michigan State,Yes,College Senior,1985
1,21,Terry Catledge,PF,United States,Philadelphia 76ers,South Alabama,No,College Sophmore,1985
1,22,Jerry Reynolds,G/F,United States,Milwaukee Bucks,LSU,No,College Junior,1985
1,23,A. C. Green,SF/PF,United States,Los Angeles Lakers,Oregon State,No,College Senior,1985
1,24,Terry Porter,PG,United States,Portland Trail Blazers,Wisconsin–Stevens Point,Yes,College Senior,1985
2,25,Mike Smrek,C,Canada,Portland Trail Blazers,Canisius,No,College Senior,1985
2,26,Bill Martin,F,United States,Indiana Pacers,Georgetown,No,College Senior,1985
2,27,Dwayne McClain,SG,United States,Indiana Pacers,Villanova,No,College Senior,1985
2,28,Ken Johnson,F,United States,Chicago Bulls,Michigan State,No,College Senior,1985
2,29,Mike Brittain,C,United States,San Antonio Spurs,South Carolina,No,College Sophmore,1985
2,30,Calvin Duncan,G,United States,Cleveland Cavaliers,VCU,No,College Senior,1985
2,31,Manute Bol,C,Sudan,Washington Bullets,Bridgeport,No,College Freshman,1985
2,32,Nick Vanos,C,United States,Phoenix Suns,Santa Clara,No,College Senior,1985
2,33,Greg Stokes,F/C,United States,Philadelphia 76ers,Iowa,No,College Senior,1985
2,34,Aubrey Sherrod,SG,United States,Chicago Bulls,Wichita State,No,College Senior,1985
2,35,Tyrone Corbin,SF/PF,United States,San Antonio Spurs,DePaul,No,College Senior,1985
2,36,Yvon Joseph,C,Haiti,New Jersey Nets,Georgia Tech,No,College Senior,1985
2,37,Carey Scurry,F,United States,Utah Jazz,LIU Brooklyn,No,College Senior,1985
2,38,Fernando Martín,PF,Spain,New Jersey Nets,Real Madrid (Spain),No,Playing Internationally,1985
2,39,George Montgomery,F,United States,Portland Trail Blazers,Illinois,No,College Senior,1985
2,40,Mark Acres,F/C,United States,Dallas Mavericks,Oral Roberts,No,College Senior,1985
2,41,Lorenzo Charles,PF,United States,Atlanta Hawks,NC State,No,College Senior,1985
2,42,Bobby Lee Hurt,C/F,United States,Golden State Warriors,Alabama,No,College Senior,1985
2,43,Barry Stevens,G/F,United States,Denver Nuggets,Iowa State,No,College Senior,1985
2,44,Voise Winters,SG,United States,Philadelphia 76ers,Bradley,No,College Senior,1985
2,45,"John ""Hot Rod"" Williams",PF,United States,Cleveland Cavaliers,Tulane,No,College Senior,1985
